ID,Amir,Ali,Misagh,Agreement Percent,target,doc,,,,,,,
1,1,1,1,100,1,['I am trying to get this program to get the passwords from an array list.,,,,,,,"MAX( ABS(3*MODE(B2:D2) - SUM(B2:D2)), ABS(3 - 3*MODE(B2:D2) - SUM(B2:D2)) )/3*100"
2,0,0,0,100,0,import java.util.ArrayList;,,,,,,,
3,0,0,1,66.66666667,0,public class CompanyDatabase    {,,,,,,,
4,0,0,0,100,0,public ArrayList<Person> getPeople() {,,,,,,,
5,0,0,0,100,0,    ArrayList<Person> people = new ArrayList<Person>();,,,,,,,
6,0,0,0,100,0,"    String[] u = {""Joe"",""Stan"",""Leo"",""John"",""Sara"",""Lauren""};",,,,,,,
7,0,0,0,100,0,"    String[] p = {""pass4321"", ""asdfjkl"", ""genericpw"", ""13579"", ""helloworld"", ""companypass""};",,,,,,,
8,0,0,0,100,0,    for(int j = 0; j < u.length; j++){,,,,,,,
9,0,0,0,100,0,"        Person temp = new Person(u[j],p[j]);",,,,,,,
10,0,0,0,66.66666667,0,    return people;,,,,,,,
11,0,0,0,100,0,import java.util.ArrayList;  ,,,,,,,
12,0,0,0,100,0,import java.util.Scanner;  ,,,,,,,
13,0,0,1,66.66666667,0,public class CompanyDatabaseDriver {  ,,,,,,,
14,0,0,0,100,0,    private static Scanner scan = new Scanner( System.in ) );  ,,,,,,,
15,0,0,0,100,0,    public static void main(String args[]) {  ,,,,,,,
16,0,0,0,100,0,            CompanyDatabase bcData = new CompanyDatabase();  ,,,,,,,
17,0,0,0,100,0,            ArrayList<Person> people = bcData.getPeople();    ,,,,,,,
18,1,1,1,100,1,          // what i tried,,,,,,,
19,1,1,1,100,1,          // also tried this,,,,,,,
20,1,1,1,100,1,The output is ,,,,,,,
21,0,0,0,100,0,"[Person@1c9b9ca, Person@c4aad3, Person@1ab28fe, Person@105738, Person@ce5b1c, Person@1bfc93a]",,,,,,,
22,1,1,1,100,1,or just ,,,,,,,
23,1,1,1,100,1,for the 2nd thing I tried.,,,,,,,
24,1,1,1,100,1,The specific number / letter combination seems to change each time the program is run.  Is there a way to specify which string to display from the array list? ,,,,,,,
25,1,1,1,100,1,['Is it possible to create reentrant aspects with Spring AOP (or AspectJ)?,,,,,,,
26,1,1,1,100,1,Here is an example:,,,,,,,
27,0,0,0,100,0,public int calcFibonacci(int n) {,,,,,,,
28,0,0,0,100,0,    if(n <= 1) {,,,,,,,
29,0,0,0,100,0,        return n;,,,,,,,
30,0,0,0,100,0,    } else {,,,,,,,
31,0,0,0,100,0,        return calcFibonacci(n - 1) + calcFibonacci(n - 2);,,,,,,,
32,1,1,1,100,1,And Aspect:,,,,,,,
33,0,0,0,100,0,public class LoggingAspect {,,,,,,,
34,0,0,0,100,0,"public Object measure(ProceedingJoinPoint pjp, Log log) throws Throwable {",,,,,,,
35,1,1,1,100,1,    // log some relevant information from log annotation and pjp,,,,,,,
36,0,0,0,100,0,    return pjp.proceed();,,,,,,,
37,1,1,1,100,1,Now I\'d like to know how many times calcFibonacci was called (counting in recurrent calls). ,,,,,,,
38,1,1,1,100,1,Is there any way to accomplish this?,,,,,,,
39,1,1,1,100,1,"[""I have a String representation of a date that I need to create a Date or Calendar object from. I've looked through Date and Calendar APIs but haven't found anything that can do this other than creating my own ugly parse method. I know there must be a way, does anyone know of a solution?",,,,,,,
40,1,1,1,100,1,['I have a distributed Java application running on 5 application servers. The servers all use the same Oracle 9i database running on a 6th machine.,,,,,,,
41,1,1,1,100,1,"The application need to prefetch a batch of 100 IDs from a sequence. It\'s relatively easy to do in a single-threaded, non-distributed environment, you can just issue these queries:",,,,,,,
42,0,0,0,100,0,SELECT seq.nextval FROM dual;,,,,,,,
43,0,0,0,100,0,ALTER SEQUENCE seq INCREMENT BY 100;,,,,,,,
44,0,0,0,100,0,SELECT seq.nextval FROM dual;,,,,,,,
45,1,1,1,100,1,"The first select fetches the first sequence ID that the application can use, the second select returns the last one that can be used.",,,,,,,
46,1,1,1,100,1,Things get way more interesting in a multithreaded environment. You can\'t be sure that before the second select another thread doesn\'t increase the sequence by 100 again. This issue can be solved by synchronizing the access on the Java side - you only let one thread begin fetching the IDs at one time.,,,,,,,
47,1,1,1,100,1,"The situation becomes really hard when you can\'t synchronize because parts of the application doesn\'t run on the same JVM, not even on the same physical machine. I found some references on forums that others have problems with solving this problem too, but none of the answers are really working not to mention being reasonable.",,,,,,,
48,1,1,1,100,1,Can the community provide a solution for this problem?,,,,,,,
49,1,1,1,100,1,Some more information:,,,,,,,
50,1,1,1,100,1,"I can\'t really play with the transaction isolation levels. I use JPA and the change would affect the entire application, not only the prefetching queries and that\'s not acceptable for me.",,,,,,,
51,1,1,1,100,1,On PostgreSQL I could do the following:,,,,,,,
52,0,0,0,100,0,"SELECT setval(\'seq\', NEXTVAL(\'seq\') + n - 1)",,,,,,,
53,1,1,1,100,1,"The solution by Matthew works when you can use a fixed increment value (which is perfectly acceptable in my case). However is there a solution when you don\'t want to fix the size of the increment, but want to adjust it dynamically?",,,,,,,
54,1,1,1,100,1,"['I have a project with lots of files. After switching to an SSD disk, things became impossible, its extremely slow. I reinstalled, upgraded to a new version (oxygen) but nothing changes.",,,,,,,
55,1,1,1,100,1,"For example, a refresh of workspace can take 10 minutes. A single file renaming, 5 minutes. But sometimes (it happens occasionally) these operations are really fast.",,,,,,,
56,1,1,1,100,1,My OS is Debian 4.9.30-2+deb9u5 (2017-09-19) x86_64.,,,,,,,
57,1,1,1,100,1,Eclipse build information:,,,,,,,
58,1,1,1,100,1,Eclipse Java EE IDE for Web Developers.,,,,,,,
59,0,1,0,66.66666667,0,Version: Oxygen.1a Release (4.7.1a),,,,,,,
60,0,0,0,100,0,Build id: 20171005-1200,,,,,,,
61,0,0,0,100,0,"OS: Linux, v.4.9.0-3-amd64, x86_64 / gtk 2.24.31",,,,,,,
62,1,1,1,100,1,"Before the SSD disk switch, I had no problem.",,,,,,,
63,1,1,1,100,1,"['I want to create a button in PDFBOX i.e., validate or reset button which will call some function of embedded javascript in PDF.",,,,,,,
64,1,1,1,100,1,How can I create such button in PDFBOX?,,,,,,,
65,1,1,1,100,1,"I have tried following code with PDPushButton snippet but it is now working properly. Here when I click on button area, then tick mark symbol is displayed and toggles on every click. Also border is not getting displayed.",,,,,,,
66,1,1,1,100,1,Instead I want to display normal button having label and border around it.,,,,,,,
67,1,1,1,100,1,I`m using pdfbox version 1.8.10.,,,,,,,
68,0,0,0,100,0,PDDocument doc = new PDDocument();,,,,,,,
69,0,0,0,100,0,PDPage page = new PDPage();,,,,,,,
70,0,0,0,100,0,PDAcroForm acroForm = new PDAcroForm(doc);,,,,,,,
71,0,0,0,100,0,"        PDActionJavaScript javascript = new PDActionJavaScript(""function validate(index){ app.alert(index); }"");",,,,,,,
72,0,0,0,100,0,        doc.getDocumentCatalog().setOpenAction( javascript );,,,,,,,
73,0,0,0,100,0,COSDictionary cosDict = new COSDictionary();,,,,,,,
74,0,0,0,100,0,            COSArray rect = new COSArray();,,,,,,,
75,0,0,0,100,0,            rect.add(new COSFloat(100));,,,,,,,
76,0,0,0,100,0,            rect.add(new COSFloat(10));,,,,,,,
77,0,0,0,100,0,            rect.add(new COSFloat(200));,,,,,,,
78,0,0,0,100,0,            rect.add(new COSFloat(60));,,,,,,,
79,0,0,0,100,0,"            cosDict.setItem(COSName.RECT, rect);",,,,,,,
80,0,0,0,100,0,"            cosDict.setItem(COSName.FT, COSName.getPDFName(""Btn"")); // Field Type",,,,,,,
81,0,0,0,100,0,"            cosDict.setItem(COSName.TYPE, COSName.ANNOT);",,,,,,,
82,0,0,0,100,0,"            cosDict.setItem(COSName.SUBTYPE, COSName.getPDFName(""Widget""));",,,,,,,
83,0,0,0,100,0,"            cosDict.setItem(COSName.T, new COSString(""My Btn""));",,,,,,,
84,0,0,0,100,0,"            cosDict.setItem(COSName.V, new COSString(""Validate""));",,,,,,,
85,0,0,0,100,0,"            cosDict.setItem(COSName.DA, new COSString(""/Helv 7 Tf 0 g""));",,,,,,,
86,0,0,0,100,0,"            PDPushButton button = new PDPushButton(acroForm, cosDict);",,,,,,,
87,0,0,0,100,0,"            button.setValue(""Validate Button"");",,,,,,,
88,0,0,0,100,0,"            PDActionJavaScript tfJs = new PDActionJavaScript(""validate(""+index+"");"");",,,,,,,
89,0,0,0,100,0,            PDAnnotationAdditionalActions tfAction = new PDAnnotationAdditionalActions();,,,,,,,
90,0,0,0,100,0,            PDGamma colourBlack = new PDGamma();,,,,,,,
91,0,0,0,100,0,            PDAppearanceCharacteristicsDictionary fieldAppearance = ,,,,,,,
92,0,0,0,100,0,                    new PDAppearanceCharacteristicsDictionary(cosDict);,,,,,,,
93,1,1,1,100,1,['I\'m trying to simply send an email from gmail in a JUnit test using a service account.,,,,,,,
94,1,1,1,100,1,I have this test:,,,,,,,
95,0,0,0,100,0,"public void testGmailCredential() throws GeneralSecurityException, URISyntaxException {",,,,,,,
96,0,0,1,66.66666667,0,    try {,,,,,,,
97,0,0,0,100,0,"        InputStream is = getClass().getClassLoader().getResourceAsStream(""myProject.json"");",,,,,,,
98,0,0,0,100,0,        GoogleCredential credential = GoogleCredential.fromStream(is).createScoped(GmailScopes.all());,,,,,,,
99,0,0,0,100,0,"        System.out.println(""Scopes are "" + credential.getServiceAccountScopesAsString());",,,,,,,
100,0,0,0,100,0,"        Gmail gmailService = new Gmail.Builder(getHttpTransport(), JSON_FACTORY, credential)",,,,,,,
101,0,0,0,100,0,"                  .setApplicationName(""WHAT SHOULD THIS VALUE BE?"")",,,,,,,
102,0,0,0,100,0,"        InternetAddress to = new InternetAddress(""myemail@myurl.com"", ""Tom Catfish"");",,,,,,,
103,0,0,0,100,0,"        InternetAddress from = new InternetAddress(""myServiceAccountId@xxxxxxxxxx.iam.gserviceaccount.com"", ""Some Name"");",,,,,,,
104,0,0,0,100,0,        Properties props = new Properties();,,,,,,,
105,0,0,0,100,0,"        Session session = Session.getDefaultInstance(props, null);",,,,,,,
106,0,0,0,100,0,        MimeMessage email = new MimeMessage(session);,,,,,,,
107,0,0,0,100,0,"        email.addRecipient(javax.mail.Message.RecipientType.TO, to);",,,,,,,
108,0,0,0,100,0,"        email.setSubject(""Subject here"");",,,,,,,
109,0,0,0,100,0,"        email.setText(""body here"");",,,,,,,
110,0,0,0,100,0,        ByteArrayOutputStream buffer = new ByteArrayOutputStream();,,,,,,,
111,0,0,0,100,0,        byte[] bytes = buffer.toByteArray();,,,,,,,
112,0,0,0,100,0,        String encodedEmail = Base64.getUrlEncoder().encodeToString(bytes);,,,,,,,
113,0,0,0,100,0,        Message message = new Message();,,,,,,,
114,0,0,0,100,0,"        message = gmailService.users().messages().send(""me"", message).execute();",,,,,,,
115,0,0,0,100,0,"        System.out.println(""Message id: "" + message.getId());",,,,,,,
116,1,1,1,100,1,        // other code...,,,,,,,
117,1,1,1,100,1,Which fails with this:,,,,,,,
118,1,1,1,100,1,Scopes are https://www.googleapis.com/auth/gmail.compose,,,,,,,
119,0,0,0,100,0,com.google.api.client.googleapis.json.GoogleJsonResponseException: 400 Bad Request,,,,,,,
120,0,0,0,100,0,"  ""code"" : 400,",,,,,,,
121,0,0,0,100,0,"  ""errors"" : [ {",,,,,,,
122,0,0,0,100,0,"    ""domain"" : ""global"",",,,,,,,
123,0,0,0,100,0,"    ""message"" : ""Bad Request"",",,,,,,,
124,0,0,0,100,0,"    ""reason"" : ""failedPrecondition""",,,,,,,
125,0,0,0,100,0,"  } ],",,,,,,,
126,0,0,0,100,0,"  ""message"" : ""Bad Request""",,,,,,,
127,0,0,0,100,0,    at com.google.api.client.googleapis.json.GoogleJsonResponseException.from(GoogleJsonResponseException.java:145),,,,,,,
128,0,0,0,100,0,    at com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest.newExceptionOnError(AbstractGoogleJsonClientRequest.java:113),,,,,,,
129,0,0,0,100,0,    at com.google.api.client.googleapis.services.json.AbstractGoogleJsonClientRequest.newExceptionOnError(AbstractGoogleJsonClientRequest.java:40),,,,,,,
130,0,0,0,100,0,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest$1.interceptResponse(AbstractGoogleClientRequest.java:321),,,,,,,
131,0,0,0,100,0,    at com.google.api.client.http.HttpRequest.execute(HttpRequest.java:1056),,,,,,,
132,0,0,0,100,0,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.executeUnparsed(AbstractGoogleClientRequest.java:419),,,,,,,
133,0,0,0,100,0,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.executeUnparsed(AbstractGoogleClientRequest.java:352),,,,,,,
134,0,0,0,100,0,    at com.google.api.client.googleapis.services.AbstractGoogleClientRequest.execute(AbstractGoogleClientRequest.java:469),,,,,,,
135,0,0,0,100,0,    at com.op.services.NotificationServiceTest.testGmailCredential(NotificationServiceTest.java:90),,,,,,,
136,0,0,0,100,0,    at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method),,,,,,,
137,0,0,0,100,0,    at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62),,,,,,,
138,0,0,0,100,0,    at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43),,,,,,,
139,0,0,0,100,0,    at java.lang.reflect.Method.invoke(Method.java:497),,,,,,,
140,0,0,0,100,0,    at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50),,,,,,,
141,0,0,0,100,0,    at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12),,,,,,,
142,0,0,0,100,0,    at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47),,,,,,,
143,0,0,0,100,0,    at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17),,,,,,,
144,0,0,0,100,0,    at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325),,,,,,,
145,0,0,0,100,0,    at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78),,,,,,,
146,0,0,0,100,0,    at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57),,,,,,,
147,0,0,0,100,0,    at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290),,,,,,,
148,0,0,0,100,0,    at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71),,,,,,,
149,0,0,0,100,0,    at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288),,,,,,,
150,0,0,0,100,0,    at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58),,,,,,,
151,0,0,0,100,0,    at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268),,,,,,,
152,0,0,0,100,0,    at org.junit.runners.ParentRunner.run(ParentRunner.java:363),,,,,,,
153,0,0,0,100,0,    at org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference.run(JUnit4TestReference.java:86),,,,,,,
154,0,0,0,100,0,    at org.eclipse.jdt.internal.junit.runner.TestExecution.run(TestExecution.java:38),,,,,,,
155,0,0,0,100,0,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:459),,,,,,,
156,0,0,0,100,0,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:675),,,,,,,
157,0,0,0,100,0,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.run(RemoteTestRunner.java:382),,,,,,,
158,0,0,0,100,0,    at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.main(RemoteTestRunner.java:192),,,,,,,
159,1,1,1,100,1,I have the file src/test/resources/myProject.json which contains this information:,,,,,,,
160,0,0,1,66.66666667,0,"  ""type"": ""service_account"",",,,,,,,
161,0,0,0,100,0,"  ""project_id"": ""xxxxxxxxxxx"",",,,,,,,
162,0,0,1,66.66666667,0,"  ""private_key_id"": ""28341330..."",",,,,,,,
163,0,0,0,100,0,"  ""private_key"": ""-----BEGIN PRIVATE KEY-----\\.........\",,,,,,,
164,0,0,0,100,0,#NAME?,,,,,,,
165,0,0,0,100,0,"  ""client_email"": ""myServiceAccountId@xxxxxxxxxx.iam.gserviceaccount.com"",",,,,,,,
166,0,0,0,100,0,"  ""client_id"": ""1182...."",",,,,,,,
167,0,0,0,100,0,"  ""auth_uri"": ""https://accounts.google.com/o/oauth2/auth"",",,,,,,,
168,0,0,0,100,0,"  ""token_uri"": ""https://accounts.google.com/o/oauth2/token"",",,,,,,,
169,0,0,0,100,0,"  ""auth_provider_x509_cert_url"": ""https://www.googleapis.com/oauth2/v1/certs"",",,,,,,,
170,0,0,0,100,0,"  ""client_x509_cert_url"": ""https://www.googleapis.com/robot/v1/metadata/x509/myApp%40xxxxxxx.iam.gserviceaccount.com""",,,,,,,
171,1,1,1,100,1,"How can I troubleshoot what is causing this stupid, not helpful failedPrecondition resopnse from Google?",,,,,,,
172,1,1,1,100,1,"[""I have a Spring Boot application which throws the below exception when lauching. The strange thing is the same jar (when run from windows and Ubuntu) works with a fresh install of MySQL 5.7 on Windows but does NOT work on MySQL 5.6 on Ubuntu 14 lts and throws the below exception! ",,,,,,,
173,1,1,1,100,1,"The root privileges, passwords are exactly the same. I tried with fresh installs on MySQL on Windows and Ubuntu. I am clueless at this point - I have tried steps in answers similar to this question on SO, but nothing works. ",,,,,,,
174,1,1,1,100,1,Is it likely an issue with mysql versions? What am I possibly missing?,,,,,,,
175,1,1,1,100,1,    EVERE: Unable to create initial connections of pool.,,,,,,,
176,0,0,0,100,0,java.sql.SQLException: Access denied for user 'root'@'localhost' (using password                                                                                        : YES),,,,,,,
177,0,0,0,100,0,        at com.mysql.jdbc.SQLError.createSQLException(SQLError.java:963),,,,,,,
178,0,0,0,100,0,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3966),,,,,,,
179,0,0,0,100,0,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:3902),,,,,,,
180,0,0,0,100,0,        at com.mysql.jdbc.MysqlIO.checkErrorPacket(MysqlIO.java:875),,,,,,,
181,0,0,0,100,0,        at com.mysql.jdbc.MysqlIO.proceedHandshakeWithPluggableAuthentication(My                                                                                        sqlIO.java:1712),,,,,,,
182,0,0,0,100,0,        at com.mysql.jdbc.MysqlIO.doHandshake(MysqlIO.java:1228),,,,,,,
183,0,0,0,100,0,        at com.mysql.jdbc.ConnectionImpl.coreConnect(ConnectionImpl.java:2253),,,,,,,
184,0,0,0,100,0,        at com.mysql.jdbc.ConnectionImpl.connectOneTryOnly(ConnectionImpl.java:2                                                                                        284),,,,,,,
185,0,0,0,100,0,        at com.mysql.jdbc.ConnectionImpl.createNewIO(ConnectionImpl.java:2083),,,,,,,
186,0,0,0,100,0,        at com.mysql.jdbc.ConnectionImpl.<init>(ConnectionImpl.java:806),,,,,,,
187,0,0,0,100,0,        at com.mysql.jdbc.JDBC4Connection.<init>(JDBC4Connection.java:47),,,,,,,
188,0,0,0,100,0,        at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method),,,,,,,
189,0,0,0,100,0,        at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstruct                                                                                        orAccessorImpl.java:62),,,,,,,
190,0,0,0,100,0,        at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingC                                                                                        onstructorAccessorImpl.java:45),,,,,,,
