,body,Amir,Ali,Misagh,
0,['I am trying to get this program to get the passwords from an array list.,1,,,=SUM(C2:E2)
1,import java.util.ArrayList;,0,,,
2,public class CompanyDatabase    {,0,,,
3,public ArrayList<Person> getPeople() {,0,,,
4,    ArrayList<Person> people = new ArrayList<Person>();,0,,,
5,"    String[] u = {""Joe"",""Stan"",""Leo"",""John"",""Sara"",""Lauren""};",0,,,
6,"    String[] p = {""pass4321"", ""asdfjkl"", ""genericpw"", ""13579"", ""helloworld"", ""companypass""};",0,,,
7,    for(int j = 0; j < u.length; j++){,0,,,
8,"        Person temp = new Person(u[j],p[j]);",0,,,
9,    return people;,0,,,
10,import java.util.ArrayList;  ,0,,,
11,import java.util.Scanner;  ,0,,,
12,public class CompanyDatabaseDriver {  ,0,,,
13,    private static Scanner scan = new Scanner( System.in ) );  ,0,,,
14,    public static void main(String args[]) {  ,0,,,
15,            CompanyDatabase bcData = new CompanyDatabase();  ,0,,,
16,            ArrayList<Person> people = bcData.getPeople();    ,0,,,
17,          // what i tried,1,,,
18,          // also tried this,1,,,
19,The output is ,1,,,
20,"[Person@1c9b9ca, Person@c4aad3, Person@1ab28fe, Person@105738, Person@ce5b1c, Person@1bfc93a]",0,,,
21,or just ,1,,,
22,for the 2nd thing I tried.,1,,,
23,The specific number / letter combination seems to change each time the program is run.  Is there a way to specify which string to display from the array list? ,1,,,
24,['Is it possible to create reentrant aspects with Spring AOP (or AspectJ)?,1,,,
25,Here is an example:,1,,,
26,public int calcFibonacci(int n) {,0,,,
27,    if(n <= 1) {,0,,,
28,        return n;,0,,,
29,    } else {,0,,,
30,        return calcFibonacci(n - 1) + calcFibonacci(n - 2);,0,,,
31,And Aspect:,1,,,
32,public class LoggingAspect {,0,,,
33,"public Object measure(ProceedingJoinPoint pjp, Log log) throws Throwable {",0,,,
34,    // log some relevant information from log annotation and pjp,1,,,
35,    return pjp.proceed();,0,,,
36,Now I\'d like to know how many times calcFibonacci was called (counting in recurrent calls). ,1,,,
37,Is there any way to accomplish this?,1,,,
38,"[""I have a String representation of a date that I need to create a Date or Calendar object from. I've looked through Date and Calendar APIs but haven't found anything that can do this other than creating my own ugly parse method. I know there must be a way, does anyone know of a solution?",1,,,
39,['I have a distributed Java application running on 5 application servers. The servers all use the same Oracle 9i database running on a 6th machine.,1,,,
40,"The application need to prefetch a batch of 100 IDs from a sequence. It\'s relatively easy to do in a single-threaded, non-distributed environment, you can just issue these queries:",1,,,
41,SELECT seq.nextval FROM dual;,0,,,
42,ALTER SEQUENCE seq INCREMENT BY 100;,0,,,
43,SELECT seq.nextval FROM dual;,0,,,
44,"The first select fetches the first sequence ID that the application can use, the second select returns the last one that can be used.",1,,,
45,Things get way more interesting in a multithreaded environment. You can\'t be sure that before the second select another thread doesn\'t increase the sequence by 100 again. This issue can be solved by synchronizing the access on the Java side - you only let one thread begin fetching the IDs at one time.,1,,,
46,"The situation becomes really hard when you can\'t synchronize because parts of the application doesn\'t run on the same JVM, not even on the same physical machine. I found some references on forums that others have problems with solving this problem too, but none of the answers are really working not to mention being reasonable.",1,,,
47,Can the community provide a solution for this problem?,1,,,
48,Some more information:,1,,,
49,"I can\'t really play with the transaction isolation levels. I use JPA and the change would affect the entire application, not only the prefetching queries and that\'s not acceptable for me.",1,,,
50,On PostgreSQL I could do the following:,1,,,
51,"SELECT setval(\'seq\', NEXTVAL(\'seq\') + n - 1)",0,,,
52,"The solution by Matthew works when you can use a fixed increment value (which is perfectly acceptable in my case). However is there a solution when you don\'t want to fix the size of the increment, but want to adjust it dynamically?",1,,,
53,"['I have a project with lots of files. After switching to an SSD disk, things became impossible, its extremely slow. I reinstalled, upgraded to a new version (oxygen) but nothing changes.",1,,,
54,"For example, a refresh of workspace can take 10 minutes. A single file renaming, 5 minutes. But sometimes (it happens occasionally) these operations are really fast.",1,,,
55,My OS is Debian 4.9.30-2+deb9u5 (2017-09-19) x86_64.,1,,,
56,Eclipse build information:,1,,,
57,Eclipse Java EE IDE for Web Developers.,1,,,
58,Version: Oxygen.1a Release (4.7.1a),0,,,
59,Build id: 20171005-1200,0,,,
60,"OS: Linux, v.4.9.0-3-amd64, x86_64 / gtk 2.24.31",0,,,
61,"Before the SSD disk switch, I had no problem.",1,,,
62,"['I want to create a button in PDFBOX i.e., validate or reset button which will call some function of embedded javascript in PDF.",1,,,
63,How can I create such button in PDFBOX?,1,,,
64,"I have tried following code with PDPushButton snippet but it is now working properly. Here when I click on button area, then tick mark symbol is displayed and toggles on every click. Also border is not getting displayed.",1,,,
65,Instead I want to display normal button having label and border around it.,1,,,
66,I`m using pdfbox version 1.8.10.,1,,,
67,PDDocument doc = new PDDocument();,0,,,
68,PDPage page = new PDPage();,0,,,
69,PDAcroForm acroForm = new PDAcroForm(doc);,0,,,
70,"        PDActionJavaScript javascript = new PDActionJavaScript(""function validate(index){ app.alert(index); }"");",0,,,
71,        doc.getDocumentCatalog().setOpenAction( javascript );,0,,,
72,COSDictionary cosDict = new COSDictionary();,0,,,
73,            COSArray rect = new COSArray();,0,,,
74,            rect.add(new COSFloat(100));,0,,,
75,            rect.add(new COSFloat(10));,0,,,
76,            rect.add(new COSFloat(200));,0,,,
77,            rect.add(new COSFloat(60));,0,,,
78,"            cosDict.setItem(COSName.RECT, rect);",0,,,
79,"            cosDict.setItem(COSName.FT, COSName.getPDFName(""Btn"")); // Field Type",0,,,
80,"            cosDict.setItem(COSName.TYPE, COSName.ANNOT);",0,,,
